property_id,bank,bus_station,casino,childcare,cinema,clinic,college,community_centre,conference_centre,dentist,doctors,events_venue,fast_food,hospital,kindergarten,library,love_hotel,marketplace,monastery,parking,police,restaurant,geometry
1bdf1254232b0de04a3b7989,6,6,6,6,6,6,6,6,6,6,6,6,8,8,10,10,10,10,10,29,29,34,"c(-74.0358846442, 4.71709695)"
4f9c293c90181d1fb5850094,7,7,8,9,9,10,10,10,10,10,10,10,12,13,13,13,13,13,13,29,29,35,"c(-74.0449981689, 4.7020001411)"
f956fbd9de903ddd04c1abbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"c(-74.083, 4.706)"
95ff4c2276c6f1d42b8567a6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,9,9,"c(-74.047302, 4.711348)"
640b01f1e042e6f2ae9f3593,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,"c(-74.078, 4.719)"
eb874fd25901f159b4a841b9,0,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,18,18,18,"c(-74.17177, 4.6340484)"
6e397cf70389178318d8f662,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,"c(-74.0778045, 4.7185198)"
882528e07cfc6271bb4c915f,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,6,6,9,"c(-74.0609, 4.722482)"
8469331cecc29c93f75b4ae4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,6,6,6,"c(-74.0787296, 4.709298)"
a5b399ca10a087684c9b9914,0,0,0,0,0,7,7,7,7,9,9,9,9,10,10,10,10,10,10,28,28,31,"c(-74.0322155, 4.6987535)"
8f6e1122b136de06ebdf9fab,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6,6,7,"c(-74.0550003052, 4.7410001755)"
830d14bd1d05bdbc6291c7bc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,9,"c(-74.1224330664, 4.6957348956)"
61257bfdfd32a5270b2c5738,2,2,2,2,2,5,5,5,5,5,5,5,6,6,8,8,8,8,8,16,16,18,"c(-74.03099823, 4.7140002251)"
661195957a98e95d2f0def84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,"c(-74.0268568, 4.7221855)"
d5b2988148e23755fbb05bcc,8,8,9,10,10,10,10,10,10,10,10,10,13,14,14,14,14,14,14,27,27,34,"c(-74.048, 4.703)"
597bf0a55d45f7d6da89d188,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,13,13,16,"c(-74.028, 4.7)"
456ba289ca512d016d6af8de,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,3,15,15,15,"c(-74.031, 4.69)"
4ef6f967aa4a8c1ff50edcfc,0,0,0,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,19,19,23,"c(-74.116, 4.705)"
cdbedd1d7577ae121a38b2e1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,17,"c(-74.1046889, 4.6159468)"
738ff772457232186c1680e4,0,8,8,8,8,8,8,9,9,9,9,9,10,10,11,11,11,11,11,15,15,17,"c(-74.13, 4.635)"
0d0e1465c4d0e4d7f75f72d3,1,9,9,9,9,15,15,15,15,15,17,17,18,20,20,20,20,20,20,26,26,27,"c(-74.062, 4.681)"
7db93a822b6e04c48b79339d,6,10,10,12,12,15,15,15,15,16,16,16,20,20,27,27,27,27,27,35,35,53,"c(-74.046841, 4.725376)"
b7ae545b5641ac444bf4bb41,4,4,4,4,4,7,7,7,7,7,7,7,8,8,10,10,10,10,10,17,17,19,"c(-74.033, 4.714)"
3d84d329789783005fc83514,2,2,2,3,3,3,3,3,3,3,3,3,4,4,6,6,6,6,6,22,22,29,"c(-74.037, 4.725)"
039e51cabe3ebd6037e6fba2,3,3,4,4,4,5,5,6,6,6,6,6,8,12,12,12,12,12,12,25,26,30,"c(-74.053, 4.665)"
835a721134d2b35819aaabb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,"c(-74.081, 4.712)"
94cf1accd79cd9b90ec6c170,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24,24,24,"c(-74.046, 4.68)"
2723c301a04db4cef17044b5,6,6,6,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,23,23,27,"c(-74.043015516, 4.6998955818)"
d3a418185242b92c7b7d088b,0,0,0,0,0,3,3,3,3,3,3,3,3,3,4,4,4,4,4,11,11,11,"c(-74.0354135, 4.7102054)"
b7191aaab23ede6b703213cf,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,8,8,10,"c(-74.087435, 4.699792)"
c2ebfdda5d4614bb8379b3cc,0,0,0,2,2,2,3,3,3,4,4,4,4,4,7,7,7,7,7,12,12,13,"c(-74.0270062, 4.731603)"
e3b1c552214a17b46c3e2227,1,1,1,1,1,4,4,4,4,6,6,6,6,7,7,7,7,7,7,25,25,27,"c(-74.0339469, 4.696024)"
fecd61b0d3c1ed12759d03cc,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,11,13,"c(-74.028843, 4.707142)"
de10541020af404aa9a77fcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,12,12,12,"c(-74.06, 4.761)"
5c0a771b26b1139368034e3d,13,13,13,13,13,13,14,17,17,19,19,19,19,21,22,22,22,23,23,42,42,53,"c(-74.1457003, 4.6768247)"
793a93983c99577a1dde0805,1,3,4,4,4,15,21,21,21,23,26,26,33,37,37,39,39,40,40,84,84,137,"c(-74.0661069, 4.6341409)"
846a2bec65138045087031df,0,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,11,"c(-74.042, 4.689)"
4138bcc7f7c2ffaf5817deee,2,5,5,6,6,10,11,12,12,12,13,14,16,17,17,18,18,18,18,37,37,56,"c(-74.074978, 4.621541)"
fd409ae6cfff4beb1d9e0add,5,5,5,5,5,5,5,5,5,5,5,5,7,7,11,11,11,11,11,29,29,34,"c(-74.0370708, 4.7169995)"
aeee470d40c8a09730b36c9c,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,13,14,"c(-74.0503786, 4.7111163)"
a71163d734c0cca9a09495ae,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,12,13,"c(-74.0309858322, 4.7053049079)"
7a6ea120df2b1f0487090553,0,0,0,1,1,1,1,4,4,5,5,5,5,5,7,7,7,7,7,9,9,10,"c(-74.0375221, 4.7314319)"
d39e53128e85d4e4263e48ac,5,8,9,9,9,18,22,22,22,26,27,27,33,38,38,39,39,40,40,75,77,128,"c(-74.069, 4.632)"
2f331109ebf4702dd9912503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,4,"c(-74.0833163, 4.7508043)"
6b5d3598067fb8ca631b24a9,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,5,6,7,"c(-74.075, 4.729)"
826f4e587a1c1ab2db90f9ce,0,0,0,1,1,1,1,1,1,1,1,1,2,2,5,5,5,6,6,9,9,25,"c(-74.0562084, 4.7265515)"
563a5924a5c5f450392ff8c7,0,0,0,0,0,0,0,3,3,3,3,3,4,4,4,4,4,4,4,16,17,17,"c(-74.175, 4.612)"
285c178fb40c363251c65ac2,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,16,18,"c(-74.030259, 4.702929)"
72fe4b80967a341fd1cae2ac,8,8,8,9,9,12,12,12,12,12,12,12,16,16,17,17,17,18,18,31,31,50,"c(-74.048, 4.696)"
