property_id,bank,bus_station,casino,childcare,cinema,clinic,college,community_centre,conference_centre,dentist,doctors,events_venue,fast_food,hospital,kindergarten,library,love_hotel,marketplace,monastery,parking,police,restaurant,geometry
4acd22835135cde574471749,1,3,3,3,3,3,3,3,3,3,3,3,5,5,6,6,6,6,6,14,14,15,"c(-74.1208775376, 4.576234559)"
ed04c88344a752f70dc19cb4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,11,11,12,"c(-74.139, 4.669)"
3ae1333eb8632652c187dd1b,5,5,5,5,5,5,5,5,5,5,5,5,6,6,9,9,9,9,9,27,27,35,"c(-74.037, 4.721)"
715bbebd820ebb49eb9d5280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,13,13,16,"c(-74.038, 4.715)"
64b12c119eef1fd6726df512,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,16,"c(-74.028737, 4.700743)"
ceb45ddc592961d406e34351,8,8,8,10,10,12,12,12,12,14,14,14,18,19,25,25,25,25,25,32,32,53,"c(-74.045, 4.724)"
ff19d55341ab37a47980b386,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,"c(-74.078, 4.72)"
5fda41dbcfa977a0dc8f4071,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,"c(-74.090677, 4.755034)"
d563f19f127de22eb8aa4221,0,0,0,0,0,0,0,1,1,4,4,4,5,6,7,7,7,7,7,10,10,21,"c(-74.1417999268, 4.6091542244)"
30a4b3f858c1a9e9f5065f18,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,4,4,9,12,12,"c(-74.1116345, 4.5843924)"
05c02a652e40ec3dec510996,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7,7,7,"c(-74.0566144, 4.7483754)"
ec6f01f854de8e2d201c0c48,0,0,0,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,"c(-74.0325742, 4.7340119)"
c45e771d7c607e1c1fc7253d,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,8,"c(-74.0588578, 4.7410491)"
29265f44815ef50a21b17f4f,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,11,13,"c(-74.0492986418, 4.6731850815)"
05be133ddbb004c29b22a2ac,0,0,0,0,0,6,6,6,6,8,8,8,8,8,8,8,8,8,8,19,20,21,"c(-74.034, 4.702)"
88a512a08495ee22ccca92b2,3,5,5,5,5,8,9,9,9,9,10,10,10,19,19,19,19,19,19,30,31,33,"c(-74.058, 4.674)"
1dea6070d250dc3eb295f6c3,0,0,0,1,1,4,4,5,6,6,6,6,6,8,8,9,9,9,9,12,12,15,"c(-74.033, 4.745)"
c702ad7b30fa04bda4e23f60,6,6,6,6,6,6,6,6,6,6,6,6,7,7,9,9,9,9,9,30,30,34,"c(-74.034, 4.718)"
1e5dc6800a594c1627598552,5,5,5,5,5,5,5,5,5,5,5,5,6,6,9,9,9,9,9,26,26,31,"c(-74.0372457405, 4.7183305394)"
a417e1c223449bc478848580,7,7,8,9,9,9,9,9,9,9,9,9,12,13,13,13,13,13,13,28,28,34,"c(-74.0480053, 4.7032369)"
fd4be0ae85d33a1a339cc7d5,0,0,0,4,4,6,6,7,7,7,7,7,7,10,10,10,10,11,11,13,14,20,"c(-74.0354978, 4.7405787)"
7a876e8981b0c52b0eef2b5b,7,7,8,9,9,9,9,9,9,9,9,9,11,12,12,12,12,12,12,28,28,35,"c(-74.047032, 4.70327)"
271151d83106aefe3b41a7a2,4,8,8,9,9,10,10,10,10,10,10,10,12,13,14,14,14,14,14,26,27,34,"c(-74.054, 4.699)"
b73611f508691241212a8c05,0,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,10,"c(-74.0414471, 4.6903717)"
2ba71820af2c81eadcf2a3b7,0,3,3,4,4,4,6,6,6,7,7,7,8,8,8,8,8,8,8,23,24,25,"c(-74.0502915615, 4.7558023978)"
96d69ffc8fd7d1ac8d8740dc,0,0,0,0,0,6,6,6,6,8,8,8,8,9,9,9,9,9,9,28,28,31,"c(-74.0317583084, 4.6989961994)"
2c90fc0c6efd3683ccfece8c,8,8,8,9,9,10,10,10,10,14,14,14,17,18,21,21,21,21,21,32,32,47,"c(-74.0448234, 4.7183012)"
