property_id,bank,bus_station,casino,childcare,cinema,clinic,college,community_centre,conference_centre,dentist,doctors,events_venue,fast_food,hospital,kindergarten,library,love_hotel,marketplace,monastery,parking,police,restaurant,geometry
7818bfdb2515268f36f561cf,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,12,12,12,"c(-76.504, 3.481)"
b431f95918341a3680fd120c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.53, 3.485)"
528d66663acd45b08c6d7931,1,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,"c(-76.5067403, 3.4436512)"
af7aede36ea1df2529081419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.495, 3.364)"
ba8e68faaf298e1ede1e442d,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,12,13,14,"c(-76.5343562, 3.3695487)"
f4e212abe62747bfa3de35ef,2,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,5,5,5,8,9,9,"c(-76.534, 3.361)"
2ca934e229718147e9ab6a3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,"c(-76.523, 3.368)"
5e1b61c197a444990f7c28bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"c(-76.552, 3.432)"
7a1b6e9e31ff08ac7536796c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9,"c(-76.534, 3.348)"
3663c9471f8a74430e88c1e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.556, 3.458)"
ea26e05193942a6f84f67119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,6,6,"c(-76.528, 3.359)"
e2e947bb30ec6c0c5032d62a,3,5,5,5,5,7,7,7,7,7,7,7,8,9,9,9,9,9,9,12,13,13,"c(-76.542, 3.427)"
77753f92a23b9e4c674e8a5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"c(-76.515, 3.488)"
62114e47c50d55b7a6fe8db8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"c(-76.515, 3.488)"
c7e1556610142166239ad229,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"c(-76.5085771, 3.4208946)"
b2d57313159dfe4922321051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.496, 3.465)"
50d3e7164f1cb7cf14ad42a6,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,7,7,7,"c(-76.53, 3.354)"
d940a0ebc88a1d011c08a177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.5117267, 3.3684703)"
738174a44a37ce206c11b673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"c(-76.536, 3.337)"
5d11d1d9a7d691ef06cf2d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"c(-76.5459805, 3.3417337)"
3d75132a17b8f2a6e106d79b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,"c(-76.5266318, 3.3730412)"
55f571e10bb645ad05ef63ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,"c(-76.5262408, 3.372861)"
d51be5dd9532f7371f80d40f,0,0,0,0,0,2,2,2,2,2,2,2,3,5,5,5,5,5,5,7,7,7,"c(-76.5418783483, 3.4206603225)"
bfdb81e0983e2fbe4ea2309b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.5400009155, 3.3629999161)"
1cb4f75b133d6b5791bbefb9,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,7,8,"c(-76.525, 3.479)"
d1b4c48f7a56cabc7a5bb296,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,7,"c(-76.536, 3.39)"
e7b9a0495e2dfcb85886ed10,0,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,"c(-76.5072721, 3.4257806)"
e73d037bdfc51c63c239fdfd,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,10,11,11,"c(-76.5459, 3.43286)"
f2239cb2a47682b1be66d980,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,"c(-76.5484619, 3.3864252)"
f814be8e2b5c379c78ffae10,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,6,6,"c(-76.5361691, 3.3663153)"
982c2a466d11bcc8346114a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"c(-76.5430429, 3.3406085)"
474b51ac08abf21f3ff475c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.495, 3.364)"
87c5d47cc17d257c73b5afcf,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,5,5,5,"c(-76.5421969, 3.4112879)"
3e35c4ac2db4a997bbaed1b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.5208805, 3.3556317)"
7e1d248cacce9e6cd3079928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"c(-76.523, 3.356)"
1fdc1048b9dbed3b7b08a1bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"c(-76.5524357, 3.449486)"
2ae07e129bfb332ba0c3d528,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,"c(-76.518445015, 3.472855722)"
37205f556a1bc9577de73859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,"c(-76.530628622, 3.4762084702)"
11c43d80ec84e1cc26e99238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,"c(-76.5272426605, 3.3794674989)"
0b3e15c44f9fc072225cb74d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.515, 3.365)"
845b79c93aaccc47677e3aca,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,"c(-76.542, 3.382)"
0ed31e84c452fbf69c67337f,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,"c(-76.528, 3.434)"
a12a424754868ba963183627,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,6,6,6,"c(-76.4968156815, 3.4891334647)"
78de96b96e968e65bbe60975,3,4,4,4,4,4,5,5,5,5,6,6,7,12,12,12,12,12,12,17,19,19,"c(-76.5270686997, 3.4677223455)"
38bb2c0629c4cf4f464b932a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"c(-76.5478025889, 3.451635733)"
181f1fb6e5ee9ad3cf04dc2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,"c(-76.528, 3.408)"
2f22b6c98ebe5a5c98621a62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.5221571922, 3.4897760014)"
462ee31769b1586af046b415,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,7,"c(-76.5446762751, 3.4484630416)"
503cb88148fc7e3321dc4de3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"c(-76.553, 3.349)"
06b476a86cb5f8a10b9f033f,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,"c(-76.52, 3.471)"
e0f87404807ebaa6aac6638c,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"c(-76.538, 3.392)"
33c07b3b85ef1f84b1edfb71,0,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,"c(-76.509, 3.446)"
42acf7ed478c1529e3a77825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-76.5205007, 3.3563088)"
06908f422c25552f1940c18c,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,"c(-76.539, 3.362)"
6c7ea98c6ff96e0b6fdc44c8,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,6,"c(-76.529, 3.413)"
8dfc0c6c4edbb9b6537d2519,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,"c(-76.5230026245, 3.4500000477)"
22e85eb7096f34deb0356022,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"c(-76.54, 3.4)"
eda413381b20a758d438b912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,"c(-76.537, 3.369)"
535718bd4066cd755b84c831,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,"c(-76.5178083, 3.3820625)"
51924f045b8823fd497995a0,5,5,5,5,5,6,6,6,6,6,6,6,6,8,8,8,8,8,8,9,10,10,"c(-76.5328031534, 3.4331774767)"
171325ca416f09be55a2792a,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,6,"c(-76.5285007, 3.4105681)"
031f7d217c047d52b1fc09d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,"c(-76.5269450261, 3.3758780702)"
e7d92eda72a423e24d8940b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"c(-76.521, 3.37)"
d1617b91a63c9f279357a238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,"c(-76.527, 3.38)"
7efac86833c71d779b803e30,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,5,5,5,"c(-76.499983, 3.484728)"
6e6af46fc38d57a87aafeea3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,"c(-76.543, 3.387)"
f5fb67b3d76fe4e83ba7cce4,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,"c(-76.537, 3.382)"
5813d126f7beedf4ee1a8c35,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,"c(-76.5306718, 3.400507)"
2b6dcb451b52ce22e5f449e2,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,12,12,12,"c(-76.5410005, 3.380216)"
96309e7ee0784e225bea5c52,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"c(-76.5094772, 3.4212817)"
f37978636bbffa029a36c211,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,"c(-76.5240111889, 3.3761987467)"
b4169f654784f2b53e852295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,"c(-76.5463228, 3.4521403)"
