property_id,bank,bus_station,casino,childcare,cinema,clinic,college,community_centre,conference_centre,dentist,doctors,events_venue,fast_food,hospital,kindergarten,library,love_hotel,marketplace,monastery,parking,police,restaurant,geometry
2f07db80cf8a19bd0f991899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-75.551, 6.214)"
aec4be1e8d752360801e964e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"c(-75.5636180905, 6.2033296348)"
a08288f067fa06807e3f3cde,1,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,7,11,11,13,"c(-75.597, 6.23)"
77cbe1e3242ec4e4214da1e4,0,0,0,0,0,3,3,4,4,4,4,4,4,5,5,5,5,5,5,10,11,15,"c(-75.5881385, 6.2482101)"
7fe6b8905638a7ee793bc892,5,8,8,8,8,10,10,10,10,10,10,10,10,13,13,13,13,13,13,14,15,15,"c(-75.5655527115, 6.2481340296)"
cdc2b2b682346f09ce0b5d36,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,"c(-75.5660225, 6.2093494)"
e5114f89c97f4c5e59530eb8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,6,8,"c(-75.5886394, 6.2635133)"
a6639d03865975ec8450ef63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"c(-75.5661764, 6.189044)"
b58af6f80cb520d30826fe69,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,"c(-75.5885631, 6.2073426)"
d9276b703f7388b1b62652fb,6,6,6,7,7,21,21,21,21,21,22,22,24,24,24,24,24,24,24,28,29,34,"c(-75.5963088, 6.2437866)"
f4e8745df038ad299f58f205,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,6,6,6,"c(-75.6086182594, 6.2503097066)"
ef412eef64d192c857199203,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,4,5,5,"c(-75.5938285589, 6.2667976311)"
f0454a57e3a8e6b340f4bf21,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,"c(-75.5839996338, 6.2170000076)"
78b3909e7093fa78cf755c27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,"c(-75.557, 6.186)"
11a98c24db85439d8f016fb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,"c(-75.5572369, 6.2017324)"
dff8f3b329cef1f85d6ad310,0,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,10,"c(-75.6040567, 6.2276925)"
1021eb2c3613ab0775d895b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,"c(-75.5514761, 6.2023131)"
d708b370b02209184ab88a56,0,0,0,0,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,6,6,8,"c(-75.5742323399, 6.2237690295)"
4519a254398a4458d6a295dc,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,7,7,7,"c(-75.5789244, 6.1953216)"
697b564fe495676af15b4b3f,4,4,5,6,6,18,18,19,19,19,20,20,21,22,22,22,22,22,22,25,25,30,"c(-75.5979995728, 6.2430000305)"
3b6ccbb74b57a867a9ae19c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-75.562, 6.21)"
c133dc49f4a79f814e184549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-75.5974817276, 6.2048105819)"
5999ca72c2ceae1555543412,0,0,0,0,0,4,4,5,6,6,6,6,6,8,8,8,8,8,8,15,15,15,"c(-75.588, 6.251)"
4ca0352353f8117607278241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,"c(-75.5633543, 6.1842973)"
3125c95a63cff7ce4c7b9a7d,1,1,1,1,1,2,4,6,6,7,7,7,7,8,8,9,9,10,10,12,12,12,"c(-75.5970001221, 6.2569999695)"
3de4a6df51af5c1a6c43a95a,2,4,4,4,4,7,7,8,8,8,8,8,9,13,13,13,13,15,15,18,18,22,"c(-75.5997121, 6.2344692)"
f28c3ee22754fc3b01a11a2f,6,6,6,6,6,20,20,21,21,21,22,23,25,25,25,25,25,27,27,32,32,35,"c(-75.596601963, 6.2406684025)"
8bc6158be15e813827bd3859,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,"c(-75.6025897738, 6.2030132353)"
6679553a367fc6f995994c1d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,5,"c(-75.5665265, 6.2117147)"
288c9a2ced17d410b0aa8f95,0,0,0,0,0,3,4,4,4,4,4,4,4,6,6,6,6,6,6,12,12,12,"c(-75.573519, 6.213096)"
d1dea733b199cca0a7e19a17,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,"c(-75.569, 6.223)"
2e00cc036b19970edbb7ac09,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,"c(-75.5653113127, 6.2087116516)"
9fafe8b27ca9779606ce52d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"c(-75.5692476545, 6.1942692155)"
acff5b5f90dbb5a07e8d55c9,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,5,5,5,"c(-75.5982571, 6.2111995)"
d4863c9bdef5597b4ec027fc,2,2,2,2,2,2,3,4,4,4,4,4,5,6,6,6,6,6,6,18,19,22,"c(-75.58443, 6.24077)"
b5d85cf27a4c536d4c9843e1,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,6,6,6,"c(-75.6010007858, 6.2185268605)"
ae886b53dbbc046b2d505438,2,2,2,2,2,2,2,3,4,4,4,6,6,7,7,7,7,7,7,15,15,18,"c(-75.582048, 6.2413313)"
564492300bfa78e87e39bbdf,0,1,1,1,1,1,1,2,3,3,3,7,7,8,8,8,8,8,8,13,13,14,"c(-75.5783652, 6.2391614)"
b58a4b53d3b55307b7a7d7a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-75.5729980469, 6.1810002327)"
8c9d264c14f361609607205d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,"c(-75.561, 6.188)"
9042a9d38f63f53656de13d5,1,2,2,2,2,3,6,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,"c(-75.561, 6.255)"
21d123b26e2e6a5b3fe8bceb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c(-75.5619899, 6.181439)"
733a5665bc749ac28d01b1a2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,"c(-75.5514641, 6.2007097)"
b8b078a184af964883c28dd8,6,6,6,6,6,20,20,20,20,20,20,21,23,23,23,24,24,24,24,31,31,34,"c(-75.5938557079, 6.2416506106)"
c554cbe97d6c56367357c74d,6,6,7,8,8,20,20,21,21,21,21,21,25,26,26,26,26,28,28,32,32,37,"c(-75.598, 6.242)"
2f47c89f0f0bff630251057c,3,3,3,3,3,12,12,13,13,13,13,14,15,15,15,16,16,16,16,20,21,27,"c(-75.5924488057, 6.2446721891)"
